"Date","Open","High","Low","Close"
"3/30/2009","3108.75","3110.199951","2962.399902","2978.149902"
"3/31/2009","2981.699951","3054.300049","2966.399902","3020.949951"
"4/1/2009","3023.850098","3069.300049","2965.699951","3060.350098"
"4/2/2009","3061.050049","3228.75","3061.050049","3211.050049"
"4/6/2009","3211.350098","3303.899902","3211.350098","3256.600098"
"4/8/2009","3255.350098","3357.050049","3149.25","3342.949951"
"4/9/2009","3346","3401.149902","3307.050049","3342.050049"
"4/13/2009","3342.199951","3417.800049","3334.149902","3382.600098"
"4/15/2009","3381.449951","3497.550049","3311.800049","3484.149902"
"4/16/2009","3484.350098","3511.25","3354.199951","3369.5"
"4/17/2009","3369.5","3489.850098","3359.25","3384.399902"
"4/20/2009","3384.75","3441.100098","3339.449951","3377.100098"
"4/21/2009","3376.850098","3414.699951","3309.350098","3365.300049"
"4/22/2009","3364.600098","3401.100098","3296.899902","3330.300049"
"4/23/2009","3330.5","3439.899902","3310.5","3423.699951"
"4/24/2009","3423.600098","3491.350098","3402.899902","3480.75"
"4/27/2009","3481.300049","3517.25","3435.300049","3470"
"4/28/2009","3469.5","3471.949951","3351.5","3362.350098"
"4/29/2009","3371.649902","3486.399902","3366.699951","3473.949951"
"4/30/2009","null","null","null","null"
"5/4/2009","3478.699951","3664.5","3478.699951","3654"
"5/5/2009","3664.5","3682.199951","3618.75","3661.899902"
"5/6/2009","3662","3717.050049","3608.649902","3625.050049"
"5/7/2009","3617.149902","3692.050049","3617.149902","3683.899902"
"5/8/2009","3681.800049","3711.25","3582.850098","3620.699951"
"5/11/2009","3615.75","3660.199951","3534.550049","3554.600098"
"5/12/2009","3554.649902","3691.649902","3534.199951","3681.100098"
"5/13/2009","3668.75","3709.600098","3610.199951","3635.25"
"5/14/2009","3631.899902","3631.899902","3537.600098","3593.449951"
"5/15/2009","3597.850098","3686.25","3597.850098","3671.649902"
"5/18/2009","3673.149902","4384.299805","3673.149902","4323.149902"
"5/19/2009","4324.950195","4509.399902","4167.649902","4318.450195"
"5/20/2009","4318.75","4362.850098","4244.700195","4270.299805"
"5/21/2009","4270.350098","4319","4199.200195","4210.899902"
"5/22/2009","4211.850098","4249.5","4155.850098","4238.5"
"5/25/2009","4238.100098","4270.049805","4205.100098","4237.549805"
"5/26/2009","4239.549805","4256.049805","4092.25","4116.700195"
"5/27/2009","4117.299805","4286.450195","4115.25","4276.049805"
"5/28/2009","4276.149902","4354.850098","4254.850098","4337.100098"
"5/29/2009","4340.75","4488.049805","4340.75","4448.950195"
"6/1/2009","4450.399902","4545.399902","4450.399902","4529.899902"
"6/2/2009","4530.450195","4586.399902","4451.299805","4525.25"
"6/3/2009","4525.5","4574.899902","4478.600098","4530.700195"
"6/4/2009","4530.299805","4582.200195","4453.450195","4572.649902"
"6/5/2009","4573.299805","4636.850098","4561.950195","4586.899902"
"6/8/2009","4582.350098","4611.399902","4404.649902","4429.899902"
"6/9/2009","4427.75","4562.450195","4365.100098","4550.950195"
"6/10/2009","4551.700195","4688.950195","4551.700195","4655.25"
"6/11/2009","4657.399902","4679.549805","4586.149902","4637.700195"
"6/12/2009","4637.549805","4693.200195","4566.149902","4583.399902"
"6/15/2009","4584.649902","4601.049805","4469.600098","4484"
"6/16/2009","4478.100098","4537.950195","4405.950195","4517.799805"
"6/17/2009","4515.350098","4517.799805","4332.799805","4356.149902"
"6/18/2009","4352.950195","4375.299805","4222.149902","4251.399902"
"6/19/2009","4251.100098","4326.200195","4206.700195","4313.600098"
"6/22/2009","4314.200195","4352.25","4221.899902","4235.25"
"6/23/2009","4223.299805","4267.450195","4143.25","4247"
"6/24/2009","4247.299805","4307","4218.25","4292.950195"
"6/25/2009","4293.850098","4337.950195","4221.149902","4241.850098"
"6/26/2009","4243.950195","4383.75","4243.950195","4375.5"
"6/29/2009","4375.399902","4439.950195","4350.899902","4390.950195"
"6/30/2009","4391.5","4426.75","4267.350098","4291.100098"
"7/1/2009","4292.299805","4362.299805","4249.700195","4340.899902"
